series_id,series_title,frequency,year,period,period_name,date_index,value,previous_value,value_diff,pct_change,month,quarter,latest,footnotes,nlp_text,publication_datetime
LNS14000000,Unemployment Rate,Monthly,2024,M03,March,2024-M03,3.9,157238.0,-157234.1,-99.99751968353706,3,,False,,Unemployment Rate for March 2024 was 3.9.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M03,March,2024-M03,157466.0,3.9,157462.1,4037489.743589744,3,,False,,Total Nonfarm Employment for March 2024 was 157466.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M04,April,2024-M04,3.9,157466.0,-157462.1,-99.99752327486569,4,,False,,Unemployment Rate for April 2024 was 3.9.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M04,April,2024-M04,157530.0,3.9,157526.1,4039130.7692307695,4,,False,,Total Nonfarm Employment for April 2024 was 157530.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M05,May,2024-M05,3.9,157530.0,-157526.1,-99.99752428108933,5,,False,,Unemployment Rate for May 2024 was 3.9.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M05,May,2024-M05,157608.0,3.9,157604.1,4041130.7692307695,5,,False,,Total Nonfarm Employment for May 2024 was 157608.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M06,June,2024-M06,4.1,157608.0,-157603.9,-99.99739860920765,6,,False,,Unemployment Rate for June 2024 was 4.1.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M06,June,2024-M06,157695.0,4.1,157690.9,3846119.512195122,6,,False,,Total Nonfarm Employment for June 2024 was 157695.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M07,July,2024-M07,4.2,157695.0,-157690.8,-99.997336630838,7,,False,,Unemployment Rate for July 2024 was 4.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M07,July,2024-M07,157748.0,4.2,157743.8,3755804.761904761,7,,False,,Total Nonfarm Employment for July 2024 was 157748.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M08,August,2024-M08,4.2,157748.0,-157743.8,-99.99733752567386,8,,False,,Unemployment Rate for August 2024 was 4.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M08,August,2024-M08,157757.0,4.2,157752.8,3756019.0476190476,8,,False,,Total Nonfarm Employment for August 2024 was 157757.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M09,September,2024-M09,4.1,157757.0,-157752.9,-99.99740106619674,9,,False,,Unemployment Rate for September 2024 was 4.1.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M09,September,2024-M09,157912.0,4.1,157907.9,3851412.195121952,9,,False,,Total Nonfarm Employment for September 2024 was 157912.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M10,October,2024-M10,4.1,157912.0,-157907.9,-99.99740361720451,10,,False,,Unemployment Rate for October 2024 was 4.1.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M10,October,2024-M10,157945.0,4.1,157940.9,3852217.073170732,10,,False,,Total Nonfarm Employment for October 2024 was 157945.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M11,November,2024-M11,4.2,157945.0,-157940.8,-99.9973408464972,11,,False,,Unemployment Rate for November 2024 was 4.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2024,M11,November,2024-M11,158079.0,4.2,158074.8,3763685.7142857136,11,,False,,Total Nonfarm Employment for November 2024 was 158079.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2024,M12,December,2024-M12,4.1,158079.0,-158074.9,-99.99740636011109,12,,False,,Unemployment Rate for December 2024 was 4.1.,2026-07-26T19:16:15Z
